bls_item_code,item_name,series_id_cpi_u_nsa,series_id_cpi_u_sa,series_id_cpi_w_nsa,series_id_cpi_w_sa,api_url_v2,data_viewer_url
SAM2,Medical care services,CUUR0000SAM2,CUSR0000SAM2,CWUR0000SAM2,CWSR0000SAM2,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAM2,https://data.bls.gov/timeseries/CUUR0000SAM2
SEMC,Professional services,CUUR0000SEMC,CUSR0000SEMC,CWUR0000SEMC,CWSR0000SEMC,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMC,https://data.bls.gov/timeseries/CUUR0000SEMC
SEMC01,Physicians' services,CUUR0000SEMC01,CUSR0000SEMC01,CWUR0000SEMC01,CWSR0000SEMC01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMC01,https://data.bls.gov/timeseries/CUUR0000SEMC01
SEMC02,Dental services,CUUR0000SEMC02,CUSR0000SEMC02,CWUR0000SEMC02,CWSR0000SEMC02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMC02,https://data.bls.gov/timeseries/CUUR0000SEMC02
SEMC03,Eyeglasses and eye care,CUUR0000SEMC03,CUSR0000SEMC03,CWUR0000SEMC03,CWSR0000SEMC03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMC03,https://data.bls.gov/timeseries/CUUR0000SEMC03
SEMC04,Services by other medical professionals,CUUR0000SEMC04,CUSR0000SEMC04,CWUR0000SEMC04,CWSR0000SEMC04,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMC04,https://data.bls.gov/timeseries/CUUR0000SEMC04
SEMD,Hospital and related services,CUUR0000SEMD,CUSR0000SEMD,CWUR0000SEMD,CWSR0000SEMD,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMD,https://data.bls.gov/timeseries/CUUR0000SEMD
SEMD01,Hospital services,CUUR0000SEMD01,CUSR0000SEMD01,CWUR0000SEMD01,CWSR0000SEMD01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMD01,https://data.bls.gov/timeseries/CUUR0000SEMD01
SEMD02,Nursing homes and adult day services,CUUR0000SEMD02,CUSR0000SEMD02,CWUR0000SEMD02,CWSR0000SEMD02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMD02,https://data.bls.gov/timeseries/CUUR0000SEMD02
SEMD03,Care of invalids and elderly at home,CUUR0000SEMD03,CUSR0000SEMD03,CWUR0000SEMD03,CWSR0000SEMD03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMD03,https://data.bls.gov/timeseries/CUUR0000SEMD03
SEME,Health insurance,CUUR0000SEME,CUSR0000SEME,CWUR0000SEME,CWSR0000SEME,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEME,https://data.bls.gov/timeseries/CUUR0000SEME
SEMF,Medicinal drugs,CUUR0000SEMF,CUSR0000SEMF,CWUR0000SEMF,CWSR0000SEMF,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMF,https://data.bls.gov/timeseries/CUUR0000SEMF
SEMF01,Prescription drugs,CUUR0000SEMF01,CUSR0000SEMF01,CWUR0000SEMF01,CWSR0000SEMF01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMF01,https://data.bls.gov/timeseries/CUUR0000SEMF01
SEMF02,Nonprescription drugs,CUUR0000SEMF02,CUSR0000SEMF02,CWUR0000SEMF02,CWSR0000SEMF02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMF02,https://data.bls.gov/timeseries/CUUR0000SEMF02
SEMG,Medical equipment and supplies,CUUR0000SEMG,CUSR0000SEMG,CWUR0000SEMG,CWSR0000SEMG,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEMG,https://data.bls.gov/timeseries/CUUR0000SEMG
SAR,Recreation,CUUR0000SAR,CUSR0000SAR,CWUR0000SAR,CWSR0000SAR,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAR,https://data.bls.gov/timeseries/CUUR0000SAR
SARC,Recreation commodities,CUUR0000SARC,CUSR0000SARC,CWUR0000SARC,CWSR0000SARC,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SARC,https://data.bls.gov/timeseries/CUUR0000SARC
SARS,Recreation services,CUUR0000SARS,CUSR0000SARS,CWUR0000SARS,CWSR0000SARS,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SARS,https://data.bls.gov/timeseries/CUUR0000SARS
